Asset Name,Serial Number,Model
CHAS5177,4FLV433,Latitude 5500
CHAS5179,BMZL533,Latitude 5500
CHAS5180,845Y433,Latitude 5500
CHAS5182,BXTGF33,OptiPlex 7070
CHAS5183,BXTHF33,OptiPlex 7070
CHAS5186,8XV9T13,OptiPlex 7070
CHAS5187,BXTDF33,OptiPlex 7070
CHAS5188,BXTBF33,OptiPlex 7070
CHAS5189,G95FN13,Latitude 5500
CHAS5190,CJ5FN13,Latitude 5500
CHAS5191,8Z7FN13,Latitude 5500
CHAS5192,C7Q2N13,Latitude 5500
CHAS5194,7L5FN13,Latitude 5500
CHAS5195,CP7XK33,Latitude 5500
CHAS5196,9TB5L33,Latitude 5500
CHAS5197,5FWTK33,Latitude 5500
CHAS5198,43JTK33,Latitude 5500
CHAS5199,JS26L33,Latitude 5500
CHAS5200,J6C4L33,Latitude 5500
CHAS5201,8G1LL33,Latitude 5500
CHAS5202,2H1ZK33,Latitude 5500
CHAS5203,4GZ4L33,Latitude 5500
CHAS5204,BN26L33,Latitude 5500
CHAS5205,CSW5L33,Latitude 5500
CHAS5206,6VY4L33,Latitude 5500
CHAS5206.chas.local,,
CHAS5206.chas.local,,
CHAS5207,3BJ5L33,Latitude 5500
CHAS5208,F2Z4L33,Latitude 5500
CHAS5209,JMS4L33,Latitude 5500
CHAS5210,8M3YK33,Latitude 5500
CHAS5211,1PP5L33,Latitude 5500
CHAS5212,GR76L33,Latitude 5500
CHAS5213,JPW5L33,Latitude 5500
CHAS5214,8NJW533,Latitude 5500
CHAS5215,GYP5433,Latitude 5500
CHAS5215.chas.local,,
CHAS5216,HWVJL33,Latitude 5500
CHAS5217,1L6KL33,Latitude 5500
CHAS5218,1ZMKL33,Latitude 5500
CHAS5219,GXJXK33,Latitude 5500
CHAS5220,B09N433,Latitude 7400
CHAS5221,JG9N433,Latitude 7400
CHAS5222,C5KP533,Latitude 7400
CHAS5223,4CLJ433,Latitude 7400
CHAS5224,GBFN533,Latitude 7400
CHAS5225,8J0Q533,Latitude 7400
CHAS5226,2GHN433,Latitude 7400
CHAS5228,7Q0L433,Latitude 7400
CHAS5229,9N7MM33,Precision 5540
CHAS5230,43C4L33,Latitude 5500
CHAS5231,1NTLL33,Latitude 5500
CHAS5232,6CW4X33,Latitude 5500
CHAS5233,41FPM33,Latitude 5500
CHAS5235,H6SQW33,Latitude 5500
CHAS5236,DFCRW33,Latitude 5500
CHAS5237,7DSQW33,Latitude 5500
CHAS5238,17SQW33,Latitude 5500
CHAS5239,7L77X33,Latitude 5500
CHAS5240,59Z7X33,Latitude 5500
CHAS5242,52Z7M33,Latitude 5500
CHAS5244,DG35M33,Latitude 5500
CHAS5244.chas.local,,
CHAS5245,1RQ8X33,Latitude 5500
CHAS5246,96C3X33,Latitude 5500
CHAS5247,37Z7X33,Latitude 5500
CHAS5249,7N4DX33,Latitude 5500
CHAS5250,806YW33,Latitude 5500
CHAS5251,CR9DX33,Latitude 5500
CHAS5252,3SFFX33,Latitude 5500
CHAS5253,3G0BX33,Latitude 5500
CHAS5254,1F3HM33,Precision 5540
CHAS5256.chas.local,,
CHAS5257,B246453,Latitude 5500
CHAS5257.chas.local,,
CHAS5258,7Z15453,Latitude 5500
CHAS5259,3C25453,Latitude 5500
CHAS5260,F9TL453,Latitude 7400
CHAS5261,CGWV253,Latitude 5500
CHAS5262,752W253,Latitude 5500
CHAS5263,J0JV253,Latitude 5500
CHAS5265,HK2R253,Latitude 5500
CHAS5265.chas.local,,
CHAS5266,7X3TZ33,Latitude 5500
CHAS5267,7S5PR33,OptiPlex 7470 AIO
CHAS5268,2LMVN53,Latitude 5510
CHAS5269,2FMVN53,Latitude 5510
CHAS5269,,
CHAS5270,D62R253,Latitude 5500
CHAS5271,DJ0Q253,Latitude 5500
CHAS5272,13TR253,Latitude 5500
CHAS5272.chas.local,,
CHAS5273,BJKQ253,Latitude 5500
CHAS5274,DD6Q253,Latitude 5500
CHAS5275,6TMQ453,Latitude 5500
CHAS5276,GF0Q253,Latitude 5500
CHAS5277,87MR253,Latitude 5500
CHAS5278,882R253,Latitude 5500
CHAS5279,9RNS453,Latitude 5500
CHAS5280,HWSR253,Latitude 5500
CHAS5281,JRFR253,Latitude 5500
CHAS5282,H4RQ253,Latitude 5500
CHAS5283,,
CHAS5283,FKFR253,Latitude 5500
CHAS5284,80HS453,Latitude 5500
CHAS5285,CTFR253,Latitude 5500
CHAS5285.chas.local,,
CHAS5287,C9MR253,Latitude 5500
CHAS5288,JYSR253,Latitude 5500
CHAS529,,
CHAS5290,F6F9N53,Latitude 5510
CHAS5291,BLQN253,Latitude 5500
CHAS5291.chas.local,,
CHAS5292,HL0Q253,Latitude 5500
CHAS5293,HW7R253,Latitude 5500
CHAS5294,BC2R253,Latitude 5500
CHAS5296,,
CHAS5297,9RRDN53,Latitude 5510
CHAS5298,FDXPM53,Latitude 5510
CHAS5299,1Y2NM53,XPS 13 9300
CHAS5302,21D1N53,Latitude 5510
CHAS5304,4VBNZ53,Latitude 5510
CHAS5305,,
CHAS5305,79CF063,Latitude 5510
CHAS5306,BM1F063,Latitude 5510
CHAS5307,9GTF063,Latitude 5510
CHAS5309,JYQF063,Latitude 5510
CHAS5311,DR1F063,Latitude 5510
CHAS5312,HTSN063,Precision 5550
CHAS5313,,
CHAS5313,CHXRN53,Precision 5540
CHAS5315,47BTZ53,Latitude 5510
CHAS5316,5NYTZ53,Latitude 5510
CHAS5317,B5NL063,Latitude 5510
CHAS5318,2KGN063,Latitude 5510
CHAS5319,DRYSZ53,Latitude 5510
CHAS5320,GSTP063,Latitude 5510
CHAS5321,DVK6M63,Latitude 5510
CHAS5322,4V18063,Latitude 5510
CHAS5323,9ZT5063,Latitude 5510
CHAS5324,FZ4YGG3,Latitude 5520
CHAS5325,D46Q063,Latitude 5510
CHAS5326,2XPG163,Latitude 5510
CHAS5328,BN5XZ53,Latitude 5510
CHAS5329,7NTF063,Latitude 5510
CHAS5330,BWQF063,Latitude 5510
CHAS5332,5TPF063,Latitude 5510
CHAS5334,,
CHAS5335,85Y9K63,Precision 5540
CHAS5336,5XQF063,Latitude 5510
CHAS5337,3Z7R253,Latitude 5500
CHAS5338,746Q253,Latitude 5500
CHAS5339,3NNS453,Latitude 5500
